id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1602654";"2021-03-23";"2";"Echange";"nan";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0096";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"1745.0";"2.325136";"48.909945";"0000J"
"2021-1602654";"2021-03-23";"3";"Echange";"nan";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0095";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"448.0";"2.323963";"48.909516";"0000J"
"2021-1602654";"2021-03-23";"4";"Echange";"nan";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0095";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"448.0";"2.323963";"48.909516";"0000J"
"2021-1602773";"2021-03-23";"1";"Vente";"990950.4";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0094";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"668.0";"2.323612";"48.909466";"0000J"
"2021-1602774";"2021-03-23";"1";"Vente";"4603737.5";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0096";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"1745.0";"2.325136";"48.909945";"0000J"
"2021-1602775";"2021-03-23";"2";"Vente";"1001088.0";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0095";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"448.0";"2.323963";"48.909516";"0000J"
"2021-1602455";"2021-03-05";"1";"Vente";"599990.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001060";"92.23";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"92.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1602123";"2021-02-18";"1";"Vente";"559300.0";"23.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"2000040";"75.65";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"75.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1601947";"2021-01-28";"1";"Vente";"433938.0";"23.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"2000010";"60.34";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1601589";"2021-01-13";"1";"Vente";"449000.0";"12.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501037";"64.83";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"72.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1601596";"2021-01-07";"1";"Vente";"520000.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001089";"72.0";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"73.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1601618";"2021-01-05";"1";"Vente";"406600.0";"12.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501004";"85.56";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"84.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2020-1352652";"2020-12-15";"1";"Vente";"520700.0";"10.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"701035";"63.85";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2020-1353017";"2020-12-14";"1";"Vente";"510000.0";"15.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"506002";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"90.0";"5.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2020-1352589";"2020-12-14";"1";"Vente";"nan";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0094";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"668.0";"2.323612";"48.909466";"0000J"
"2020-1352589";"2020-12-14";"1";"Vente";"nan";"nan";"None";"QUAI DE LA SEINE";"8531";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0095";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"CH";"chemin de fer";"FER";"Chemin de fer";"448.0";"2.323963";"48.909516";"0000J"
